id,event,date,source
E001,Letter from Liang Qichao,"Jan 12, 1920",letter_001.txt
E002,Hu Shi reply,1920/1/15,letter_002.txt
E003,Meeting notes,12 January 1920,notes_001.txt
E004,Publication date,1920.01.20,journal_001.txt
E005,Cable received,"January 12th, 1920",cable_001.txt
E006,Archive stamp,"Feb 3, 1920",letter_003.txt
E007,Memo,1920/2/10,memo_001.txt
E008,Conference,March 1920,notes_002.txt
E009,Signed date,1920.04.01,contract_001.txt
E010,Telegram,"Apr 15th, 1920",telegram_001.txt
E011,Draft,1920/5/20,draft_001.txt
E012,Final version,"May 30, 1920",letter_004.txt
E013,Review,1920.06.15,review_001.txt
E014,Annotation,July 1920,book_001.txt
E015,Receipt,1920/8/1,receipt_001.txt
